date,country,device,search_engine,query,clicks,impressions,ctr,average_position,landing_page,source,notes
2026-08-06,,,Google,urdu typing,,7162,1.79%,7.21,/,Search Console export,Priority existing-demand opportunity; homepage remains canonical owner
2026-08-06,,,Google,urdu writing,,3705,1.30%,6.48,/,Search Console export,Priority existing-demand opportunity; watch mobile CTR and ranking URL
,,,,roman urdu to urdu typing online,,,,,,,
,,,,urdu rich text editor online,,,,,,,
,,,,urdu card maker online,,,,,,,
,,,,urdu quote image maker,,,,,,,
2026-08-22,,,Google,english to urdu typing,25,31966,0.1%,7.4,,WU-SEO-CTR-001 supplied Search Console snapshot,Snapshot observation date and landing-page dimension were not supplied; expected owner is /; reference only until a dated export is captured
2026-08-22,,,Google,urdu typing,199,10309,1.9%,6.5,,WU-SEO-CTR-001 supplied Search Console snapshot,Snapshot observation date and landing-page dimension were not supplied; expected owner is /; reference only until a dated export is captured
2026-08-22,,,Google,urdu writing,82,5290,1.6%,6.4,,WU-SEO-CTR-001 supplied Search Console snapshot,Snapshot observation date and landing-page dimension were not supplied; expected owner is /; reference only until a dated export is captured
2026-08-22,,,Google,urdu typing online,111,3526,3.1%,5.6,,WU-SEO-CTR-001 supplied Search Console snapshot,Snapshot observation date and landing-page dimension were not supplied; expected owner is /; reference only until a dated export is captured
2026-08-22,,,Google,urdu keyboard online,26,3403,0.8%,8.1,,WU-SEO-CTR-001 supplied Search Console snapshot,Snapshot observation date and landing-page dimension were not supplied; expected owner is /urdu-keyboard; reference only until a dated export is captured
,,,,urdu poetry card maker,,,,,,,
,,,,urdu qr code generator online,,,,,,,
,,,,roman urdu transliteration,,,,,,,
,,,,type urdu on whatsapp,,,,,,,
